Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Civil_Twilight,Year,Month
MapQuest,2,2019-10-09 10:38:07,2019-10-09 11:38:42,39.824020000000004,-75.082237,Blackwood,Camden,NJ,59.0,59.0,69.0,30.25,10.0,14.0,0.0,Cloudy,Day,2019,10.0
MapQuest,4,2019-10-09 11:08:37,2019-10-09 11:53:22,40.853367,-73.96305799999999,Fort Lee,Bergen,NJ,53.0,53.0,83.0,30.29,2.0,9.0,0.04,Light Rain,Day,2019,10.0
MapQuest,2,2019-10-09 11:50:51,2019-10-09 12:37:16,40.69566,-75.189713,Phillipsburg,Warren,NJ,58.0,58.0,58.0,29.87,10.0,17.0,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-09 11:57:25,2019-10-09 13:50:23,41.01099,-73.946831,Northvale,Bergen,NJ,53.0,53.0,86.0,30.28,2.0,10.0,0.02,Light Rain,Day,2019,10.0
MapQuest,2,2019-10-09 13:31:42,2019-10-09 14:46:21,40.562481,-74.322807,Iselin,Middlesex,NJ,53.0,53.0,89.0,30.23,5.0,8.0,0.05,Rain,Day,2019,10.0
MapQuest,2,2019-10-09 13:37:21,2019-10-09 15:21:36,40.739178,-74.06945,Jersey City,Hudson,NJ,53.0,53.0,93.0,30.11,5.0,8.0,0.07,Rain,Day,2019,10.0
MapQuest,2,2019-10-09 14:11:18,2019-10-09 14:55:54,39.885651,-75.10743000000001,Gloucester City,Camden,NJ,55.0,55.0,80.0,30.25,10.0,17.0,0.0,Light Rain,Day,2019,10.0
MapQuest,3,2019-10-09 14:16:16,2019-10-09 15:30:57,40.349075,-74.476311,Monroe Township,Middlesex,NJ,52.0,52.0,93.0,30.02,4.0,10.0,0.01,Light Rain,Day,2019,10.0
MapQuest,2,2019-10-09 14:43:41,2019-10-09 15:58:34,39.72998,-74.990303,Sicklerville,Camden,NJ,54.0,54.0,93.0,30.18,3.0,7.0,0.07,Light Rain,Day,2019,10.0
MapQuest,2,2019-10-09 14:43:21,2019-10-09 15:58:14,39.820831,-75.067886,Blackwood,Camden,NJ,54.0,54.0,82.0,30.24,6.0,17.0,0.0,Light Rain,Day,2019,10.0
MapQuest,3,2019-10-09 14:44:13,2019-10-09 15:59:04,40.126038,-74.699425,Bordentown,Burlington,NJ,52.0,52.0,93.0,30.02,1.0,8.0,0.04,Rain,Day,2019,10.0
MapQuest,2,2019-10-09 14:46:37,2019-10-09 15:46:04,40.630119,-74.240044,Linden,Union,NJ,55.0,55.0,86.0,30.22,5.0,8.0,0.02,Drizzle,Day,2019,10.0
MapQuest,2,2019-10-09 16:06:55,2019-10-09 16:51:47,39.791721,-74.989677,Pine Hill,Camden,NJ,54.0,54.0,93.0,30.17,2.0,10.0,0.01,Light Rain,Day,2019,10.0
MapQuest,2,2019-10-09 16:38:11,2019-10-09 17:22:54,40.515221000000004,-74.374847,Edison,Middlesex,NJ,55.0,55.0,81.0,30.22,10.0,13.0,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-09 16:41:16,2019-10-09 17:26:09,39.811619,-74.983589,Clementon,Camden,NJ,54.0,54.0,93.0,30.16,2.0,8.0,0.05,Light Rain,Day,2019,10.0
MapQuest,2,2019-10-09 16:41:35,2019-10-09 17:26:27,39.949379,-74.971909,Moorestown,Burlington,NJ,54.0,54.0,93.0,30.16,2.0,8.0,0.05,Light Rain,Day,2019,10.0
MapQuest,2,2019-10-09 16:43:00,2019-10-09 17:57:01,40.381538,-74.246033,Morganville,Monmouth,NJ,54.0,54.0,97.0,30.06,2.0,13.0,0.03,Light Rain,Day,2019,10.0
MapQuest,2,2019-10-09 17:35:26,2019-10-09 18:04:02,40.182831,-74.722939,Trenton,Mercer,NJ,53.0,53.0,89.0,30.0,5.0,9.0,0.01,Light Rain,Day,2019,10.0
MapQuest,2,2019-10-09 18:11:47,2019-10-09 18:56:27,40.571255,-74.328613,Iselin,Middlesex,NJ,55.0,55.0,76.0,30.21,10.0,14.0,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-09 19:02:16,2019-10-09 19:46:57,39.794518,-75.11421999999999,Sewell,Gloucester,NJ,54.0,54.0,83.0,30.23,10.0,13.0,0.01,Light Rain,Night,2019,10.0
MapQuest,2,2019-10-09 19:46:17,2019-10-09 22:45:29,40.734798,-74.188499,Newark,Essex,NJ,54.0,54.0,77.0,30.23,10.0,15.0,0.0,Cloudy,Night,2019,10.0
MapQuest,3,2019-10-10 06:14:06,2019-10-10 07:40:11,40.857105,-73.968361,Fort Lee,Bergen,NJ,55.0,55.0,64.0,30.21,10.0,8.0,0.0,Cloudy,Night,2019,10.0
MapQuest,2,2019-10-10 06:25:55,2019-10-10 07:44:01,39.755913,-75.27681,Swedesboro,Gloucester,NJ,54.0,54.0,66.0,30.23,10.0,12.0,0.0,Mostly Cloudy,Night,2019,10.0
MapQuest,3,2019-10-10 06:55:21,2019-10-10 08:31:19,39.876209,-75.101646,Bellmawr,Camden,NJ,54.0,54.0,66.0,30.23,10.0,12.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 07:25:04,2019-10-10 08:31:15,39.872444,-75.082207,Bellmawr,Camden,NJ,55.0,55.0,64.0,30.23,10.0,12.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 07:44:41,2019-10-10 09:13:47,40.475803000000006,-74.406563,East Brunswick,Middlesex,NJ,56.0,56.0,60.0,30.19,10.0,0.0,0.0,Partly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 07:46:47,2019-10-10 08:15:46,40.68837,-75.190063,Phillipsburg,Warren,NJ,56.0,56.0,60.0,29.85,10.0,8.0,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 07:46:47,2019-10-10 08:15:46,40.696735,-75.17600300000001,Phillipsburg,Warren,NJ,56.0,56.0,60.0,29.85,10.0,8.0,0.0,Cloudy,Day,2019,10.0
MapQuest,3,2019-10-10 07:50:18,2019-10-10 08:19:24,40.857105,-73.968361,Fort Lee,Bergen,NJ,57.0,57.0,59.0,30.21,10.0,12.0,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 07:53:17,2019-10-10 08:38:26,40.434360999999996,-74.25185400000001,Matawan,Middlesex,NJ,56.0,56.0,60.0,30.19,10.0,12.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 08:07:33,2019-10-10 09:13:03,39.928219,-75.055756,Cherry Hill,Camden,NJ,55.0,55.0,72.0,30.16,10.0,7.0,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 08:26:40,2019-10-10 09:28:31,40.065872,-74.161896,Brick,Ocean,NJ,59.0,59.0,64.0,30.05,10.0,16.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,3,2019-10-10 08:31:05,2019-10-10 10:18:44,40.641407,-74.208282,Elizabeth,Union,NJ,58.0,58.0,56.0,30.21,10.0,12.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 08:55:19,2019-10-10 09:24:48,40.761210999999996,-74.980232,Washington,Warren,NJ,58.0,58.0,62.0,30.11,10.0,9.0,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 09:09:44,2019-10-10 10:09:26,39.836864,-75.092178,Woodbury,Gloucester,NJ,57.0,57.0,59.0,30.23,10.0,10.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 09:14:29,2019-10-10 10:45:13,39.856209,-75.027924,Magnolia,Camden,NJ,57.0,57.0,59.0,30.23,10.0,10.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 09:46:18,2019-10-10 11:47:33,39.850547999999996,-75.006866,Voorhees,Camden,NJ,59.0,,67.0,30.16,,,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 09:45:55,2019-10-10 11:17:34,39.945789000000005,-75.091492,Camden,Camden,NJ,60.0,60.0,57.0,30.22,10.0,10.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 10:07:52,2019-10-10 11:39:03,40.97987,-74.124779,Ridgewood,Bergen,NJ,61.0,61.0,48.0,30.21,10.0,12.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 11:20:39,2019-10-10 12:20:58,40.891605,-74.710495,Netcong,Morris,NJ,62.0,62.0,44.0,29.81,10.0,13.0,0.0,Cloudy,Day,2019,10.0
MapQuest,3,2019-10-10 14:22:27,2019-10-10 15:06:48,39.868140999999994,-75.102379,Bellmawr,Camden,NJ,71.0,71.0,44.0,30.16,10.0,15.0,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 16:35:12,2019-10-10 17:19:57,40.850922,-74.83341999999999,Hackettstown,Warren,NJ,69.0,69.0,32.0,29.74,10.0,10.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-10 16:43:29,2019-10-10 17:28:18,40.809298999999996,-74.254829,West Orange,Essex,NJ,71.0,71.0,31.0,29.99,10.0,9.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-10 16:47:05,2019-10-10 18:01:43,40.890079,-75.06423199999999,Columbia,Warren,NJ,69.0,69.0,32.0,29.74,10.0,10.0,0.0,Fair,Day,2019,10.0
MapQuest-Bing,2,2019-10-10 17:13:57,2019-10-10 18:43:34,40.485378000000004,-74.42235600000001,New Brunswick,Middlesex,NJ,71.0,71.0,28.0,30.15,10.0,16.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-10 17:31:43,2019-10-10 18:46:25,40.757088,-74.207306,East Orange,Essex,NJ,69.0,69.0,33.0,30.15,10.0,17.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 17:36:21,2019-10-10 18:36:04,40.797108,-74.065506,Secaucus,Hudson,NJ,69.0,69.0,35.0,30.16,10.0,12.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 18:13:20,2019-10-10 19:50:23,40.732009999999995,-74.044388,Jersey City,Hudson,NJ,68.0,68.0,33.0,30.03,10.0,7.0,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-10 18:28:30,2019-10-10 19:52:53,39.386181,-74.513542,Pleasantville,Atlantic,NJ,64.0,64.0,46.0,30.04,10.0,7.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-10 18:35:00,2019-10-10 19:53:10,40.760139,-74.990646,Washington,Warren,NJ,65.0,65.0,36.0,30.05,10.0,5.0,0.0,Fair,Day,2019,10.0
MapQuest,3,2019-10-11 04:24:54,2019-10-11 05:25:17,40.641407,-74.208282,Elizabeth,Union,NJ,57.0,57.0,39.0,30.1,10.0,10.0,0.0,Fair,Night,2019,10.0
MapQuest,2,2019-10-11 04:28:03,2019-10-11 05:46:05,40.283676,-74.0821,Tinton Falls,Monmouth,NJ,56.0,56.0,51.0,29.95,10.0,13.0,0.0,Mostly Cloudy,Night,2019,10.0
MapQuest,2,2019-10-11 04:28:03,2019-10-11 05:46:01,40.709503000000005,-74.244926,Hillside,Union,NJ,56.0,56.0,44.0,30.1,10.0,18.0,0.0,Partly Cloudy,Night,2019,10.0
MapQuest,2,2019-10-11 05:22:13,2019-10-11 05:51:39,40.695965,-75.19160500000001,Phillipsburg,Warren,NJ,49.0,46.0,54.0,29.76,10.0,7.0,0.0,Fair,Night,2019,10.0
MapQuest,3,2019-10-11 06:49:53,2019-10-11 07:35:30,40.672211,-75.11702700000001,Stewartsville,Warren,NJ,49.0,47.0,52.0,29.75,10.0,5.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-11 07:05:01,2019-10-11 07:51:34,39.928131,-75.117729,Camden,Camden,NJ,53.0,53.0,45.0,30.12,10.0,12.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-11 07:10:14,2019-10-11 08:14:45,40.223797,-74.758698,Trenton,Mercer,NJ,51.0,51.0,54.0,29.9,10.0,7.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-11 07:05:43,2019-10-11 08:09:06,41.101353,-74.578568,Franklin,Sussex,NJ,44.0,44.0,68.0,29.73,10.0,0.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-11 07:14:23,2019-10-11 08:47:20,40.882069,-75.04875200000001,Columbia,Warren,NJ,44.0,44.0,68.0,29.73,10.0,0.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-11 08:23:53,2019-10-11 09:28:00,40.79871,-74.189888,Bloomfield,Essex,NJ,59.0,59.0,42.0,30.12,10.0,16.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-11 08:48:37,2019-10-11 10:04:07,40.483486,-74.417068,New Brunswick,Middlesex,NJ,58.0,58.0,40.0,30.11,10.0,13.0,0.0,Fair,Day,2019,10.0
MapQuest,3,2019-10-11 08:50:35,2019-10-11 09:19:53,40.714031,-74.22341899999999,Newark,Essex,NJ,59.0,59.0,42.0,30.11,10.0,20.0,0.0,Partly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-11 09:15:11,2019-10-11 10:30:51,39.806339,-74.967239,Clementon,Camden,NJ,58.0,58.0,47.0,30.06,10.0,13.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-11 09:18:14,2019-10-11 10:18:04,40.303379,-74.872147,Titusville,Mercer,NJ,57.0,57.0,47.0,29.9,10.0,14.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-11 10:01:17,2019-10-11 11:47:46,40.789359999999995,-74.195328,Bloomfield,Essex,NJ,60.0,60.0,39.0,30.11,10.0,14.0,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-11 10:25:44,2019-10-11 11:41:05,39.80571,-74.99389599999999,Clementon,Camden,NJ,63.0,63.0,46.0,30.05,10.0,12.0,0.0,Cloudy,Day,2019,10.0
MapQuest,3,2019-10-11 12:08:46,2019-10-11 12:53:21,40.780464,-74.04937,North Bergen,Hudson,NJ,61.0,61.0,50.0,29.96,10.0,17.0,0.0,Cloudy,Day,2019,10.0
MapQuest,3,2019-10-11 14:19:36,2019-10-11 15:04:10,39.876209,-75.101646,Bellmawr,Camden,NJ,67.0,67.0,44.0,30.08,10.0,14.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,3,2019-10-11 14:27:49,2019-10-11 15:12:26,39.732315,-75.40594499999999,Pedricktown,Salem,NJ,66.0,66.0,45.0,30.07,10.0,10.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-11 14:46:35,2019-10-11 15:46:11,40.754082000000004,-74.117409,Kearny,Hudson,NJ,62.0,62.0,60.0,30.06,10.0,23.0,0.0,Cloudy / Windy,Day,2019,10.0
MapQuest,2,2019-10-11 15:42:54,2019-10-11 16:42:27,39.940651,-74.081299,Seaside Heights,Ocean,NJ,61.0,61.0,70.0,29.97,10.0,13.0,0.0,Cloudy,Day,2019,10.0
MapQuest,3,2019-10-11 16:12:01,2019-10-11 16:56:23,40.635773,-74.197594,Elizabeth,Union,NJ,64.0,64.0,46.0,30.04,10.0,13.0,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-11 16:33:10,2019-10-11 17:17:51,40.887046999999995,-73.994186,Teaneck,Bergen,NJ,64.0,64.0,45.0,30.05,10.0,10.0,0.0,Cloudy,Day,2019,10.0
MapQuest,3,2019-10-11 17:01:29,2019-10-11 17:46:06,40.904255,-74.192413,Little Falls,Passaic,NJ,64.0,64.0,48.0,29.89,10.0,8.0,0.0,Cloudy,Day,2019,10.0
MapQuest,3,2019-10-11 20:18:51,2019-10-11 20:47:44,39.394981,-74.51230600000001,Pleasantville,Atlantic,NJ,60.0,60.0,62.0,29.98,10.0,7.0,0.0,Cloudy,Night,2019,10.0
MapQuest,3,2019-10-11 21:04:24,2019-10-11 21:33:44,40.660198,-74.185707,Elizabethport,Union,NJ,61.0,61.0,54.0,30.05,10.0,14.0,0.0,Cloudy,Night,2019,10.0
MapQuest,2,2019-10-11 23:33:58,2019-10-12 01:18:15,40.730236,-74.109154,Kearny,Hudson,NJ,58.0,58.0,60.0,30.02,10.0,14.0,0.0,Mostly Cloudy,Night,2019,10.0
MapQuest,3,2019-10-11 23:41:06,2019-10-12 00:24:07,40.7425,-74.149437,Harrison,Hudson,NJ,58.0,58.0,60.0,30.02,10.0,14.0,0.0,Mostly Cloudy,Night,2019,10.0
MapQuest,3,2019-10-11 23:53:26,2019-10-12 00:21:43,40.7425,-74.149437,Harrison,Hudson,NJ,58.0,58.0,60.0,30.02,10.0,14.0,0.0,Mostly Cloudy,Night,2019,10.0
MapQuest,2,2019-10-12 06:55:43,2019-10-12 16:04:32,40.721561,-74.188339,Newark,Essex,NJ,55.0,55.0,72.0,29.96,10.0,8.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-12 12:20:50,2019-10-12 13:50:29,40.626991,-74.30432900000001,Clark,Union,NJ,62.0,62.0,59.0,29.96,10.0,0.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-12 12:20:13,2019-10-12 13:50:22,40.659386,-74.286926,Cranford,Union,NJ,62.0,62.0,59.0,29.96,10.0,0.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-12 12:37:41,2019-10-12 14:21:45,39.063438,-74.83296999999999,Cape May Court House,Cape May,NJ,64.0,64.0,54.0,29.96,10.0,9.0,0.0,Partly Cloudy,Day,2019,10.0
MapQuest,3,2019-10-12 13:28:13,2019-10-12 14:28:41,40.892368,-74.666862,Ledgewood,Morris,NJ,69.0,,47.0,29.47,10.0,,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-12 13:53:54,2019-10-12 14:38:09,40.527306,-74.29995699999999,Perth Amboy,Middlesex,NJ,66.0,66.0,54.0,29.94,10.0,0.0,0.0,Fair,Day,2019,10.0
MapQuest,3,2019-10-12 14:14:54,2019-10-12 15:29:29,40.802132,-74.072868,East Rutherford,Bergen,NJ,66.0,66.0,52.0,29.92,10.0,0.0,0.0,Fair,Day,2019,10.0
MapQuest,3,2019-10-12 15:03:18,2019-10-12 16:06:07,39.844967,-75.18474599999999,Thorofare,Gloucester,NJ,69.0,69.0,42.0,29.94,10.0,6.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,3,2019-10-12 15:50:05,2019-10-12 16:34:57,40.907539,-74.16883100000001,Paterson,Passaic,NJ,69.0,69.0,49.0,29.9,10.0,0.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-12 16:07:58,2019-10-12 16:53:34,40.331493,-74.638023,Princeton,Mercer,NJ,68.0,68.0,50.0,29.71,10.0,8.0,0.0,Fair,Day,2019,10.0
MapQuest,3,2019-10-12 16:37:57,2019-10-12 17:07:35,40.751633,-74.18878199999999,Newark,Essex,NJ,67.0,67.0,57.0,29.91,10.0,6.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,3,2019-10-12 17:39:57,2019-10-12 22:07:38,40.897343,-74.63428499999999,Ledgewood,Morris,NJ,65.0,65.0,54.0,29.47,10.0,0.0,0.0,Partly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-13 01:41:41,2019-10-13 03:34:56,40.785046,-74.200272,Bloomfield,Essex,NJ,57.0,57.0,74.0,29.98,10.0,8.0,0.0,Fair,Night,2019,10.0
MapQuest,3,2019-10-13 10:18:40,2019-10-13 11:33:22,40.81321,-74.05837199999999,Carlstadt,Bergen,NJ,58.0,58.0,60.0,30.11,10.0,8.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-13 10:23:46,2019-10-13 11:08:28,40.428486,-74.519951,Monmouth Junction,Middlesex,NJ,57.0,57.0,69.0,29.89,10.0,7.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-13 10:23:08,2019-10-13 12:08:00,40.659386,-74.286926,Cranford,Union,NJ,59.0,59.0,62.0,30.1,10.0,0.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-13 13:09:28,2019-10-13 14:54:20,39.824020000000004,-75.082237,Blackwood,Camden,NJ,64.0,64.0,48.0,30.1,10.0,0.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,3,2019-10-13 13:19:38,2019-10-13 14:20:04,40.805164000000005,-74.076897,East Rutherford,Bergen,NJ,63.0,63.0,48.0,30.07,10.0,6.0,0.0,Fair,Day,2019,10.0
MapQuest,3,2019-10-13 14:44:34,2019-10-13 15:29:07,40.126583000000004,-74.697479,Bordentown,Burlington,NJ,64.0,64.0,52.0,29.83,10.0,3.0,0.0,Cloudy,Day,2019,10.0
MapQuest,3,2019-10-13 14:43:39,2019-10-13 15:28:19,40.731995,-74.124977,Newark,Essex,NJ,65.0,65.0,42.0,30.04,10.0,5.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,3,2019-10-13 15:19:02,2019-10-13 16:04:06,40.857166,-73.968475,Fort Lee,Bergen,NJ,70.0,70.0,36.0,30.04,10.0,3.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,3,2019-10-13 15:50:38,2019-10-13 16:35:16,40.731995,-74.124977,Newark,Essex,NJ,65.0,65.0,42.0,30.03,10.0,5.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,3,2019-10-13 20:35:28,2019-10-13 21:21:29,40.907375,-74.580185,Wharton,Morris,NJ,54.0,54.0,94.0,29.84,10.0,0.0,0.0,Mostly Cloudy,Night,2019,10.0
MapQuest,3,2019-10-14 05:55:47,2019-10-14 06:27:05,40.925205,-74.790665,Hackettstown,Warren,NJ,49.0,49.0,90.0,29.5,10.0,0.0,0.0,Cloudy,Night,2019,10.0
MapQuest,2,2019-10-14 06:16:03,2019-10-14 07:41:21,40.642002000000005,-74.288857,Cranford,Union,NJ,58.0,58.0,87.0,29.96,10.0,0.0,0.0,Cloudy,Night,2019,10.0
MapQuest,2,2019-10-14 06:23:52,2019-10-14 07:08:22,40.652190999999995,-74.21595,Elizabeth,Union,NJ,58.0,58.0,87.0,29.96,10.0,0.0,0.0,Cloudy,Night,2019,10.0
MapQuest,3,2019-10-14 07:55:37,2019-10-14 09:13:21,40.866253,-74.00843,Teaneck,Bergen,NJ,60.0,60.0,78.0,29.97,10.0,0.0,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-14 08:28:13,2019-10-14 11:47:06,40.695789000000005,-75.188713,Phillipsburg,Warren,NJ,58.0,58.0,81.0,29.59,9.0,5.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,3,2019-10-14 08:53:54,2019-10-14 09:23:14,40.713676,-74.27874,Union,Union,NJ,61.0,61.0,78.0,29.99,10.0,7.0,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-14 08:56:57,2019-10-14 10:11:34,40.579334,-74.526253,Bound Brook,Somerset,NJ,58.0,,87.0,29.89,10.0,,0.0,Cloudy,Day,2019,10.0
MapQuest,2,2019-10-14 10:31:29,2019-10-14 11:32:11,40.841499,-74.823769,Hackettstown,Warren,NJ,63.0,63.0,63.0,29.52,10.0,7.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-14 10:48:38,2019-10-14 12:20:08,39.770599,-75.046989,Sicklerville,Camden,NJ,64.0,64.0,73.0,29.95,10.0,3.0,0.0,Partly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-14 10:49:37,2019-10-14 11:50:12,40.73365,-74.193283,Newark,Essex,NJ,64.0,64.0,67.0,29.98,10.0,6.0,0.0,Mostly Cloudy,Day,2019,10.0
MapQuest,2,2019-10-14 12:53:23,2019-10-14 13:38:10,40.33543,-74.581841,Plainsboro,Middlesex,NJ,70.0,70.0,51.0,29.74,10.0,8.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-14 14:05:43,2019-10-14 14:50:25,41.089581,-74.678627,Lafayette,Sussex,NJ,71.0,71.0,38.0,29.45,10.0,9.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-14 16:35:09,2019-10-14 17:19:53,40.740631,-74.06424,Jersey City,Hudson,NJ,71.0,71.0,30.0,29.75,10.0,3.0,0.0,Fair,Day,2019,10.0
MapQuest,3,2019-10-14 16:45:06,2019-10-14 17:29:53,40.667248,-74.18032099999999,Elizabeth,Union,NJ,73.0,73.0,29.0,29.88,10.0,15.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-14 16:44:17,2019-10-14 17:28:48,40.771488,-74.029678,Union City,Hudson,NJ,71.0,71.0,30.0,29.75,10.0,3.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-14 16:46:07,2019-10-14 17:30:50,40.735924,-74.079536,Jersey City,Hudson,NJ,71.0,71.0,30.0,29.75,10.0,3.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-14 16:45:33,2019-10-14 17:30:20,40.740742,-74.165451,Newark,Essex,NJ,73.0,73.0,29.0,29.88,10.0,15.0,0.0,Fair,Day,2019,10.0
MapQuest,3,2019-10-14 16:52:15,2019-10-14 18:07:59,40.731995,-74.124977,Newark,Essex,NJ,73.0,73.0,29.0,29.88,10.0,15.0,0.0,Fair,Day,2019,10.0
MapQuest,3,2019-10-14 17:00:04,2019-10-14 21:49:38,39.435840999999996,-74.591202,Egg Harbor Township,Atlantic,NJ,73.0,73.0,38.0,29.87,10.0,8.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-14 17:03:59,2019-10-14 18:03:43,40.854259000000006,-73.96498100000001,Fort Lee,Bergen,NJ,73.0,73.0,28.0,29.87,10.0,12.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-14 17:34:12,2019-10-14 18:03:58,39.979713000000004,-74.804794,Lumberton,Burlington,NJ,71.0,71.0,32.0,29.88,10.0,5.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-14 18:03:43,2019-10-14 18:48:32,40.895519,-73.986458,Englewood,Bergen,NJ,71.0,71.0,31.0,29.9,10.0,10.0,0.0,Fair,Day,2019,10.0
MapQuest,3,2019-10-14 18:38:56,2019-10-14 19:07:38,40.641407,-74.208282,Elizabeth,Union,NJ,68.0,68.0,31.0,29.93,10.0,10.0,0.0,Fair,Day,2019,10.0
MapQuest,2,2019-10-14 18:48:24,2019-10-14 19:33:14,40.910831,-73.97290799999999,Englewood,Bergen,NJ,68.0,68.0,36.0,29.92,10.0,7.0,0.0,Fair,Night,2019,10.0
MapQuest,2,2019-10-14 20:09:44,2019-10-14 21:09:23,40.67709,-75.109657,Stewartsville,Warren,NJ,61.0,61.0,48.0,29.57,10.0,3.0,0.0,Fair,Night,2019,10.0
MapQuest,3,2019-10-14 23:42:58,2019-10-15 00:11:44,40.349075,-74.476311,Monroe Township,Middlesex,NJ,55.0,55.0,59.0,29.82,10.0,6.0,0.0,Fair,Night,2019,10.0
MapQuest,2,2019-10-15 04:32:17,2019-10-15 05:33:27,40.829479,-74.83129100000001,Hackettstown,Warren,NJ,38.0,38.0,93.0,29.66,10.0,0.0,0.0,Fair,Night,2019,10.0
MapQuest,2,2019-10-15 05:40:45,2019-10-15 06:10:22,40.989940999999995,-74.900139,Blairstown,Warren,NJ,38.0,38.0,89.0,29.67,10.0,0.0,0.0,Fair,Night,2019,10.0
MapQuest,3,2019-10-15 06:15:59,2019-10-15 08:05:01,40.194206,-74.605446,Trenton,Mercer,NJ,48.0,48.0,68.0,29.91,10.0,3.0,0.0,Fair,Night,2019,10.0
MapQuest,2,2019-10-15 06:18:05,2019-10-15 07:03:26,40.870319,-74.894379,Hackettstown,Warren,NJ,38.0,38.0,89.0,29.67,10.0,0.0,0.0,Fair,Night,2019,10.0
